,village,adjmatrix_key,pid,hhid,resp_id,resp_gend,resp_status,age,religion,caste,subcaste,mothertongue,speakother,kannada,tamil,telugu,hindi,urdu,english,otherlang,educ,villagenative,native_name,native_type,native_taluk,native_district,res_time_yrs,res_time_mths,movereason,movecontact,movecontact_res,movecontact_hhid,movecontact_pid,movecontact_name,workflag,work_freq,work_freq_type,occupation,privategovt,work_outside,work_outside_freq,shgparticipate,shg_no,savings,savings_no,electioncard,rationcard,rationcard_colour
28,1,134,103101,1031,1,1,Head of Household,38,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,4TH STANDARD,Yes,,,,,,,,,,,,,Yes,7.0,DAYS PER WEEK,AGRICULTURE,OWN,No,,No,,No,,Yes,Yes,RED
29,1,135,103102,1031,2,2,Spouse of Head of Household,33,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE RURAL,25.0,0.0,MARRIAGE,,,,,,No,,,,,,,Yes,1.0,No,,Yes,Yes,RED
30,1,137,103104,1031,4,2,Other,20,HINDUISM,OBC,VOKKALIGA,KANNADA,Yes,No,No,No,No,No,Yes,,S.S.L.C.,Yes,,,,,,,,,,,,,No,,,,,,,No,,No,,No,No,
31,1,138,103105,1031,5,2,Other,18,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,8TH STANDARD,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,GARMENTS WORKER,PRIVATE BUSINESS,No,,No,,No,,No,Yes,YELLOW
32,1,140,103201,1032,1,1,Head of Household,50,HINDUISM,SCHEDULED CASTE,ADI KARNATAKA,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURE LABOUR,LAND LORD,No,,No,,No,,Yes,Yes,GREEN
33,1,141,103202,1032,2,2,Spouse of Head of Household,45,HINDUISM,SCHEDULED CASTE,ADI KARNATAKA,KANNADA,Yes,No,No,No,No,Yes,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,25.0,,MARRIAGE,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURE LABOUR,LAND LORD,No,,Yes,Refuse to say,No,,Yes,Yes,YELLOW
34,1,145,103301,1033,1,1,Head of Household,35,HINDUISM,SCHEDULED CASTE,ADI KARNATAKA,KANNADA,No,No,No,No,No,No,No,,6TH STANDARD,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,AGRICULTURE LABOUR,LAND LORD,No,,No,,No,,Yes,Yes,GREEN
35,1,146,103302,1033,2,2,Spouse of Head of Household,30,HINDUISM,SCHEDULED CASTE,ADI KARNATAKA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,11.0,0.0,MARRIAGE,,,,,,Yes,6.0,DAYS PER WEEK,POULTRY FARM,PRIVATE BUSINESS,No,,No,,No,,Yes,Yes,GREEN
36,1,154,103501,1035,1,1,Head of Household,40,HINDUISM,SCHEDULED CASTE,ADI KARNATAKA,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURE LABOUR,LAND LORD,No,,No,,No,,Yes,Yes,GREEN
37,1,155,103502,1035,2,2,Spouse of Head of Household,30,HINDUISM,SCHEDULED CASTE,ADI KARNATAKA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,14.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,Yes,Yes,GREEN
38,1,162,103701,1037,1,1,Head of Household,45,HINDUISM,SCHEDULED CASTE,ADI KARNATAKA,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,Yes,5.0,DAYS PER WEEK,AGRICULTURE,OWN LAND,No,,No,,No,,Yes,Yes,GREEN
39,1,163,103702,1037,2,2,Spouse of Head of Household,38,HINDUISM,SCHEDULED CASTE,ADI KARNATAKA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,20.0,0.0,MARRIAGE,,,,,,No,,,,,,,No,,Yes,1.0,Yes,Yes,GREEN
40,1,173,104001,1040,1,1,Head of Household,48,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,Yes,,,,,,,,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURE,OWN LAND,No,,No,,No,,Yes,Yes,GREEN
41,1,174,104002,1040,2,2,Spouse of Head of Household,38,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,8TH STANDARD,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE RURAL,25.0,,MARRIAGE,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURE,OWN LAND,No,,No,,No,,Yes,Yes,GREEN
42,1,179,104101,1041,1,1,Head of Household,35,HINDUISM,OBC,THIGALA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,Yes,,,,,,,,,,,,,Yes,5.0,DAYS PER WEEK,SMALL BUSINESS,PRIVATE BUSINESS,Yes,0.0,No,,No,,Yes,Yes,GREEN
43,1,180,104102,1041,2,2,Spouse of Head of Household,28,HINDUISM,OBC,THIGALA,KANNADA,No,No,No,No,No,No,No,,4TH STANDARD,No,data has been removed for publication,TOWN,data has been removed for publication,BANGALORE,12.0,0.0,MARRIAGE,,,,,,No,,,,,,,No,,No,,Yes,Yes,GREEN
44,1,183,104201,1042,1,1,Head of Household,40,ISLAM,OBC,PATAN,URDU,Yes,Yes,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,BUSINESS,OWN,No,,No,,No,,Yes,Yes,YELLOW
45,1,184,104202,1042,2,2,Spouse of Head of Household,35,ISLAM,OBC,PATAN,URDU,Yes,Yes,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE RURAL,20.0,0.0,MARRIAGE,,,,,,Yes,6.0,DAYS PER WEEK,BUSINESS,OWN,No,,Yes,1.0,Yes,2.0,Yes,Yes,YELLOW
46,1,190,104301,1043,1,1,Head of Household,45,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,3RD STANDARD,Yes,,,,,,,,,,,,,Yes,7.0,DAYS PER WEEK,SMALL BUSINESS,PRIVATE BUSINESS,No,,No,,No,,Yes,Yes,GREEN
47,1,191,104302,1043,2,2,Spouse of Head of Household,40,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,5.0,,MARRIAGE,,,,,,No,,,,,,,No,,Yes,1.0,Yes,Yes,GREEN
48,1,209,104801,1048,1,1,Head of Household,60,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,7TH STANDARD,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,AGRICULTURIST,OWN LAND,No,,No,,Yes,1.0,Yes,Yes,GREEN
49,1,210,104802,1048,2,2,Spouse of Head of Household,45,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,4TH STANDARD,Yes,,,,,,,,,,,,,No,,,,,,,Yes,1.0,Yes,2.0,Yes,Yes,GREEN
50,1,214,104901,1049,1,1,Head of Household,30,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,9TH STANDARD,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE RURAL,9.0,0.0,MARRIAGE,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURE,OWN LAND,No,,No,,No,,No,No,
51,1,215,104902,1049,2,2,Spouse of Head of Household,25,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,No,,,,,,,No,,No,,Yes,No,
52,1,223,105201,1052,1,1,Head of Household,30,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,9TH STANDARD,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,6.0,0.0,MARRIAGE,,,,,,Yes,5.0,DAYS PER WEEK,AGRICULTURE LABOUR,PRIVATE BUSINESS,Yes,2.0,No,,Yes,1.0,No,Yes,GREEN
53,1,226,105301,1053,1,1,Head of Household,55,HINDUISM,OBC,THIGALAS,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURE COOLIE,LAND LORD,No,,No,,No,,Yes,Yes,GREEN
54,1,227,105302,1053,2,2,Spouse of Head of Household,50,HINDUISM,OBC,THIGALA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,35.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,Yes,Yes,GREEN
55,1,228,105303,1053,3,1,Other,30,HINDUISM,OBC,THIGALA,KANNADA,No,No,No,No,No,No,No,,8TH STANDARD,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,TRACTOR DRIVER,PRIVATE BUSINESS,Yes,0.0,No,,No,,Yes,Yes,GREEN
56,1,229,105304,1053,4,2,Other,28,HINDUISM,OBC,THIGALA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,10.0,,MARRIAGE,,,,,,Yes,6.0,DAYS PER WEEK,TAILOR IN GARMENTS,PRIVATE BUSINESS,Yes,0.0,No,,No,,Yes,Yes,GREEN
57,1,232,105401,1054,1,1,Head of Household,65,HINDUISM,GENERAL,VISHWAKARMA,KANNADA,Yes,No,No,Yes,No,No,No,,4TH STANDARD,Yes,,,,,,,,,,,,,Yes,5.0,DAYS PER WEEK,BLACKSMITH,PRIVATE BUSINESS,No,,No,,Yes,2.0,Yes,Yes,YELLOW
58,1,233,105402,1054,2,2,Spouse of Head of Household,50,HINDUISM,GENERAL,VISHWAKARMA,KANNADA,Yes,No,No,Yes,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,KOLAR,30.0,,MARRIAGE,,,,,,No,,,,,,,No,,Yes,1.0,Yes,Yes,RED
59,1,235,105404,1054,4,2,Other,21,HINDUISM,GENERAL,VISHWAKARMA,KANNADA,No,No,No,No,No,No,No,,8TH STANDARD,Yes,,,,,,,,,,,,,No,,,,,,,No,,No,,No,Yes,RED
60,1,254,105802,1058,2,2,Spouse of Head of Household,45,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,No,,,,,,,No,,No,,No,No,
61,1,257,105901,1059,1,1,Head of Household,32,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,9TH STANDARD,Yes,,,,,,,,,,,,,Yes,4.0,HOURS PER DAY,AGRICULTURE,PRIVATE BUSINESS,No,,No,,Yes,1.0,Yes,Yes,GREEN
62,1,258,105902,1059,2,2,Spouse of Head of Household,27,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,25.0,,MARRIAGE,,,,,,No,,,,,,,Yes,1.0,No,,Yes,Yes,GREEN
63,1,266,106201,1062,1,1,Head of Household,58,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,BUILDING CONSTRUCTION,PRIVATE BUSINESS,Yes,5.0,No,,No,,Yes,No,
64,1,267,106202,1062,2,2,Spouse of Head of Household,40,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,No,data has been removed for publication,TOWN,data has been removed for publication,BANGALORE,21.0,,MARRIAGE,,,,,,Yes,6.0,DAYS PER WEEK,ANGANAVADI TEACHER,GOVERNMENT,No,,No,,Yes,1.0,Yes,No,
65,1,269,106204,1062,4,1,Other,45,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,Yes,4.0,DAYS PER WEEK,AGRICULTURE,PRIVATE BUSINESS,No,,No,,No,,Yes,Yes,GREEN
66,1,270,106205,1062,5,2,Spouse of Head of Household,35,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,15.0,,MARRIAGE,,,,,,Yes,6.0,DAYS PER WEEK,COOK IN SCHOOL,PRIVATE BUSINESS,No,,No,,No,,Yes,Yes,GREEN
67,1,283,106501,1065,1,1,Head of Household,70,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,Yes,4.0,DAYS PER WEEK,AGRICULTURE,PRIVATE BUSINESS,No,,No,,No,,Yes,Yes,GREEN
68,1,284,106502,1065,2,1,Other,40,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,Yes,,,,,,,,,,,,,Yes,5.0,DAYS PER WEEK,AGRICULTURE,PRIVATE BUSINESS,No,,No,,No,,Yes,No,
69,1,285,106503,1065,3,2,Other,25,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,5TH STANDARD,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,5.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,No,No,
70,1,294,106701,1067,1,1,Head of Household,54,HINDUISM,OBC,VOKKALIGA,KANNADA,Yes,Yes,No,No,No,No,No,,UNCOMPLETED DEGREE,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,CENTRAL GOVT,GOVERNMENT,Yes,0.0,No,,Yes,1.0,Yes,Yes,RED
71,1,295,106702,1067,2,2,Spouse of Head of Household,45,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE RURAL,33.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,Yes,Yes,RED
72,1,297,106704,1067,4,2,Other,20,HINDUISM,OBC,VOKKALIGA,KANNADA,Yes,No,No,No,No,No,Yes,,1ST P.U.C.,Yes,,,,,,,,,,,,,No,,,,,,,No,,No,,No,No,
73,1,299,106801,1068,1,1,Head of Household,30,HINDUISM,OBC,ACHARYA,KANNADA,No,No,No,No,No,No,No,,4TH STANDARD,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,SPINNING,OTHERS,Yes,0.0,No,,No,,Yes,No,
74,1,300,106802,1068,2,2,Spouse of Head of Household,28,HINDUISM,OBC,ACHAR,KANNADA,Yes,No,No,Yes,No,No,No,,7TH STANDARD,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE,7.0,,MARRIAGE,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURE,OTHERS,No,,No,,No,,No,No,
75,1,309,107101,1071,1,1,Head of Household,45,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,5TH STANDARD,Yes,,,,,,,,,,,,,Yes,8.0,HOURS PER DAY,AGRICULTURIST,OWN BUSINESS,No,,No,,Yes,1.0,Yes,Yes,GREEN
76,1,310,107102,1071,2,2,Spouse of Head of Household,38,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,4TH STANDARD,Yes,,,,,,,,,,,,,Yes,8.0,DAYS PER WEEK,AGRICULTURE,OWN,No,,No,,Yes,1.0,Yes,Yes,GREEN
77,1,320,107301,1073,1,1,Head of Household,75,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,Yes,,,,,,,,,,,,,No,,,,,,,No,,No,,Yes,Yes,RED
78,1,321,107302,1073,2,2,Spouse of Head of Household,68,HINDUISM,OBC,VOKKALIGAS,KANNADA,No,No,No,No,No,No,No,,NONE,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE RURAL,50.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,Yes,Yes,RED
79,1,322,107303,1073,3,1,Other,50,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,Yes,,,,,,,,,,,,,Yes,4.0,HOURS PER DAY,AGRICULTURIST,OWN,No,,No,,No,,Yes,Yes,RED
80,1,323,107304,1073,4,2,Spouse of Head of Household,40,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,No,data has been removed for publication,VILLAGE,data has been removed for publication,TUMKUR,30.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,Yes,Yes,GREEN
81,1,326,107307,1073,7,1,Other,42,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,5TH STANDARD,Yes,,,,,,,,,,,,,Yes,6.0,DAYS PER WEEK,DRIVER,OWNER,Yes,0.0,No,,No,,Yes,Yes,GREEN
82,1,327,107308,1073,8,2,Spouse of Head of Household,31,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,S.S.L.C.,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE RURAL,16.0,,MARRIAGE,,,,,,No,,,,,,,No,,No,,No,No,
83,1,331,107401,1074,1,1,Head of Household,42,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,2ND P.U.C.,No,data has been removed for publication,VILLAGE,data has been removed for publication,BANGALORE RURAL,6.0,,WORK,Yes,Yes,1103.0,5.0,data has been removed for publication,Yes,6.0,DAYS PER WEEK,TEACHER,GOVERNMENT,Yes,0.0,No,,Yes,1.0,Yes,Yes,YELLOW
84,1,332,107402,1074,2,2,Spouse of Head of Household,35,HINDUISM,OBC,VOKKALIGA,KANNADA,No,No,No,No,No,No,No,,5TH STANDARD,Yes,,,,,,,,,,,,,No,,,,,,,No,,No,,Yes,Yes,WHITE
